item_id,question_id,pipeline,question,evidence,sql_gold,sql_generated,execution_status,execution_error,annotator_a,annotator_b,comment
B_bird_mini_724,bird_mini_724,B,Please list the superhero names of all the superheroes that have blue eyes and blond hair.,"blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id; blond hair refers to colour = 'Blond' and hair_colour_id = colour.id; super power of ""Agility"" refers to power_name = 'Agility'",SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id INNER JOIN colour AS T3 ON T1.hair_colour_id = T3.id WHERE T2.colour = 'Blue' AND T3.colour = 'Blond',"SELECT s.superhero_name
FROM superhero s
JOIN hero_attribute ha1 ON s.id = ha1.hero_id
JOIN hero_attribute ha2 ON s.id = ha2.hero_id
JOIN colour c1 ON ha1.attribute_id = c1.id
JOIN colour c2 ON ha2.attribute_id = c2.id
WHERE c1.colour = 'blue' AND c2.colour = 'blond' AND c1.colour = 'eye_colour' AND c2.colour = 'hair_colour';",incorrect,,semantic,semantic,Utilise une table/logique de schema incorrecte (hero_attribute) avec une condition WHERE incoherente sur la colonne colour.
B_bird_mini_1088,bird_mini_1088,B,Please list the names of the players whose volley score and dribbling score are over 70.,volley score are over 70 refers to volleys > 70; dribbling score refers to dribbling are over 70 refers to dribbling > 70;,SELECT DISTINCT t1.player_name FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t2.volleys > 70 AND t2.dribbling > 70,"SELECT p.player_name
FROM Player p
JOIN Player_Attributes pa ON p.player_api_id = pa.player_api_id
WHERE pa.volleys > 70 AND pa.dribbling > 70;",incorrect,,ambiguous,ambiguous,"Meme logique de jointure et de filtre que le gold, mais absence de DISTINCT : risque de doublons dans le resultat."
D_bird_mini_1380,bird_mini_1380,D,What is the total amount of money spent for food?,total amount of money spent refers to SUM(spent); spent for food refers to category = 'Food',SELECT SUM(spent) FROM budget WHERE category = 'Food',"SELECT SUM(spent) AS total_spent_for_food
FROM budget
WHERE category = 'Food';",correct,,correct,correct,Requete identique en logique au gold.
D_bird_mini_242,bird_mini_242,D,"Among all the atoms from 21 to 25, list all the molecules that are carcinogenic.","atoms from 21 to 25 refers to SUBSTR(atom_id, 7, 2) between '21' and '25'; label = '+' mean molecules are carcinogenic","SELECT DISTINCT T2.molecule_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE SUBSTR(T1.atom_id, -2) BETWEEN '21' AND '25' AND T2.label = '+'","SELECT DISTINCT m.molecule_id, m.label
FROM atom a
JOIN connected c ON a.atom_id = c.atom_id
JOIN bond b ON c.bond_id = b.bond_id
JOIN molecule m ON a.molecule_id = m.molecule_id
WHERE SUBSTR(a.atom_id, 7, 2) BETWEEN '21' AND '25'
AND m.label = '+';",incorrect,,semantic,semantic,"Jointures supplementaires (connected, bond) risquant d'exclure des atomes valides non references dans ces tables."
D_bird_mini_466,bird_mini_466,D,"Among the cards in the set ""Hauptset Zehnte Edition"", how many of them are designed by Adam Rex?","card set ""Hauptset Zehnte Edition"" refers to translation = 'Hauptset Zehnte Edition'; designed by Adam refers to artist = 'Adam Rex'",SELECT COUNT(T1.id) FROM cards AS T1 INNER JOIN set_translations AS T2 ON T2.setCode = T1.setCode WHERE T2.translation = 'Hauptset Zehnte Edition' AND T1.artist = 'Adam Rex',"SELECT COUNT(c.id) AS card_count
FROM cards c
JOIN sets s ON c.setCode = s.code
WHERE s.name = 'Hauptset Zehnte Edition' AND c.artist = 'Adam Rex';",incorrect,,semantic,semantic,Utilise sets.name au lieu de set_translations.translation : mauvaise source de donnees pour le nom traduit du set.
D_bird_mini_563,bird_mini_563,D,"User No.3025 gave a comment at 20:29:39 on 2014/4/23 to a post, how many favorite counts did that post get?",user no. 3025 refers to UserId = '3025'; comment at 20:29:39 on 2014/4/23 refers to CreationDate = '2014/4/23 20:29:39.0',SELECT T1.FavoriteCount FROM posts AS T1 INNER JOIN comments AS T2 ON T1.Id = T2.PostId WHERE T2.CreationDate = '2014-04-23 20:29:39.0' AND T2.UserId = 3025,"SELECT p.FavoriteCount
FROM posts p
JOIN comments c ON p.Id = c.PostId
WHERE c.UserId = '3025' AND c.CreationDate = '2014/04/23 20:29:39.0';",incorrect,,semantic,semantic,"Format de date incorrect ('/' au lieu de '-') : ne correspond pas au format stocke, resultat vide ou faux."
D_bird_mini_1164,bird_mini_1164,D,How many of the patients with the most serious thrombosis cases examined in 1997 are women?,the most serious thrombosis refers to Thrombosis = '1' (the most severe one); women refers to sex = 'F',"SELECT  COUNT(*) FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'F' AND STRFTIME('%Y', T2.`Examination Date`) = '1997' AND T2.Thrombosis = 1","SELECT COUNT(P.ID)
FROM Patient P
JOIN Examination E ON P.ID = E.ID
WHERE E.Diagnosis = '1' AND YEAR(E.`Examination Date`) = 1997 AND P.SEX = 'F';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such function: YEAR,structural,structural,Fonction YEAR() inexistante ; colonne Diagnosis utilisee a la place de Thrombosis.
D_bird_mini_977,bird_mini_977,D,"From race no. 50 to 100, how many finishers have been disqualified?","disqualified refers to statusID = 2, finisher refers to time! = null; race no. refers to raceId; raceId > 50 and raceId < 100;","SELECT SUM(IIF(time IS NOT NULL, 1, 0)) FROM results WHERE statusId = 2 AND raceID < 100 AND raceId > 50","SELECT COUNT(DISTINCT driverId) AS disqualified_finishers
FROM results
WHERE raceId BETWEEN 50 AND 100
AND statusId = 2;",incorrect,,semantic,semantic,Condition time IS NOT NULL manquante et bornes de raceId incluses (BETWEEN) au lieu d'exclusives : comptage incorrect.
B_bird_mini_875,bird_mini_875,B,Show me the season page of year when the race No. 901 took place.,the season page refers to url; race number refers to raceId;,SELECT T2.url FROM races AS T1 INNER JOIN seasons AS T2 ON T2.year = T1.year WHERE T1.raceId = 901,"SELECT url
FROM races
WHERE raceId = 901 AND year IN (
    SELECT year
    FROM races
    WHERE raceId = 901
);",incorrect,,semantic,semantic,N'utilise pas la table seasons : renvoie l'URL de la course au lieu de la page de la saison.
D_bird_mini_904,bird_mini_904,D,State the race and year of race in which Michael Schumacher had his fastest lap.,fastest lap refers to min(milliseconds); Alex Yoong refers to the full name of the driver; Full name of the driver refers to drivers.forename and drivers.surname;,"SELECT T1.name, T1.year FROM races AS T1 INNER JOIN lapTimes AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId WHERE T3.forename = 'Michael' AND T3.surname = 'Schumacher' ORDER BY T2.milliseconds ASC LIMIT 1","SELECT r.year, r.name
FROM results res
JOIN races r ON res.raceId = r.raceId
JOIN drivers d ON res.driverId = d.driverId
WHERE d.forename = 'Michael' AND d.surname = 'Schumacher'
ORDER BY res.fastestLapTime
LIMIT 1;",incorrect,,semantic,semantic,Utilise results.fastestLapTime (chaine de caracteres) au lieu de lapTimes.milliseconds : tri non fiable pour trouver le tour le plus rapide.
D_bird_mini_1476,bird_mini_1476,D,What was the difference in gas consumption between CZK-paying customers and EUR-paying customers in 2012?,Year 2012 can be presented as Between 201201 And 201212; The first 4 strings of the Date values in the yearmonth table can represent year; Difference in Consumption = CZK customers consumption in 2012 - EUR customers consumption in 2012,"SELECT SUM(IIF(T1.Currency = 'CZK', T2.Consumption, 0)) - SUM(IIF(T1.Currency = 'EUR', T2.Consumption, 0)) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2012'","SELECT
    SUM(CASE WHEN c.Currency = 'CZK' THEN y.Consumption ELSE 0 END) -
    SUM(CASE WHEN c.Currency = 'EUR' THEN y.Consumption ELSE 0 END) AS ConsumptionDifference
FROM
    customers c
JOIN
    yearmonth y ON c.CustomerID = y.CustomerID
WHERE
    LEFT(y.Date, 4) BETWEEN '2012' AND '2012';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such function: LEFT,structural,structural,Fonction LEFT() inexistante en SQLite (utiliser SUBSTR).
D_bird_mini_281,bird_mini_281,D,Tally the toxicology element of the 4th atom of each molecule that was carcinogenic.,"label = '+' means molecules are carcinogenic; 4th atom of each molecule refers to substr(atom_id, 7, 1) = '4';","SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND SUBSTR(T1.atom_id, -1) = '4' AND LENGTH(T1.atom_id) = 7","SELECT
    a.element
FROM
    atom a
JOIN
    molecule m ON a.molecule_id = m.molecule_id
JOIN
    bond b ON a.atom_id = b.atom_id
JOIN
    connected c ON a.atom_id = c.atom_id2
WHERE
    m.label = '+'
    AND SUBSTR(a.atom_id, 7, 1) = '4';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: b.atom_id,structural,structural,Colonne atom_id inexistante dans la table bond.
D_bird_mini_745,bird_mini_745,D,Give the publisher ID of Star Trek.,Star Trek is the publisher_name;,SELECT id FROM publisher WHERE publisher_name = 'Star Trek',SELECT id FROM publisher WHERE publisher_name = 'Star Trek';,correct,,correct,correct,Requete identique au gold.
D_bird_mini_1179,bird_mini_1179,D,"For the patient who was diagnosed with SLE on 1994/2/19, what was his/her anti-Cardiolipin antibody concentration status on 1993/11/12?",diagnosed with SLE refers to Diagnosis = 'SLE'; 1994/2/19 refers to Description = '1994-02-19'; anti-Cardiolipin refers to aCL IgM; 1993/11/12 refers to Examination Date = '1993/11/12',"SELECT `aCL IgA`, `aCL IgG`, `aCL IgM` FROM Examination WHERE ID IN ( SELECT ID FROM Patient WHERE Diagnosis = 'SLE' AND Description = '1994-02-19' ) AND `Examination Date` = '1993-11-12'","SELECT
    e.aCL_IgM
FROM
    Examination e
JOIN
    Patient p ON e.ID = p.ID
WHERE
    p.Diagnosis = 'SLE'
    AND p.Description = '1994-02-19'
    AND e.Examination_Date = '1993/11/12';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: e.aCL_IgM,structural,structural,Colonnes mal nommees (aCL_IgM sans espace) provoquant une erreur ; colonnes aCL IgA et aCL IgG demandees manquantes.
D_bird_mini_669,bird_mini_669,D,When did 'chl' cast its first vote in a post?,DisplayName = 'chl'; cast its first vote refers to MIN(CreationDate);,SELECT T2.CreationDate FROM users AS T1 INNER JOIN votes AS T2 ON T1.Id = T2.UserId WHERE T1.DisplayName = 'chl' ORDER BY T2.CreationDate LIMIT 1,"SELECT MIN(v.CreationDate) AS FirstVoteDate
FROM votes v
JOIN users u ON v.UserId = u.Id
WHERE u.DisplayName = 'chl';",correct,,correct,correct,Meme logique de jointure et de filtre que le gold.
D_bird_mini_634,bird_mini_634,D,"Among posts by Harvey Motulsky and Noah Snyder, which one has higher popularity?",Has higher popularity means the post has higher view count ; calculation = MAX(SUM(ViewCount)) where DisplayName = 'Harvey Motulsky' OR DisplayName = 'Noah Snyder';,SELECT T1.DisplayName FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN posts AS T3 ON T2.PostId = T3.Id WHERE T1.DisplayName = 'Harvey Motulsky' OR T1.DisplayName = 'Noah Snyder' GROUP BY T1.DisplayName ORDER BY SUM(T3.ViewCount) DESC LIMIT 1,"SELECT
    p1.DisplayName,
    SUM(p1.ViewCount) AS TotalViewCount
FROM
    posts p1
JOIN
    postHistory ph1
ON
    p1.Id = ph1.PostId AND ph1.UserDisplayName IN ('Harvey Motulsky', 'Noah Snyder')
GROUP BY
    p1.DisplayName
ORDER BY
    TotalViewCount DESC
LIMIT 1;",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: p1.DisplayName,structural,structural,Colonne DisplayName inexistante dans la table posts.
B_bird_mini_578,bird_mini_578,B,Which user made a post titled 'Understanding what Dassault iSight is doing?' and how much is the reputation of the user?,"""Understanding what Dassault iSight is doing?"" is the Title of post; user refers to DisplayName;","SELECT T1.DisplayName, T1.Reputation FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T2.Title = 'Understanding what Dassault iSight is doing?'","SELECT u.DisplayName, u.Reputation
FROM users u
JOIN posts p ON u.Id = p.OwnerUserId
WHERE p.Title = 'Understanding what Dassault iSight is doing?';",correct,,correct,correct,Requete identique au gold.
B_bird_mini_1267,bird_mini_1267,B,"Among the patients with normal anti-SM, how many of them does not have thrombosis?","normal anti-SM refers to SM IN('-', '+-'); SM = 'negative' means '-'; SM = '0' means '+-'; SM = '1' means '+'; does not have thrombosis refers to Thrombosis = 0;","SELECT COUNT(T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.SM IN ('negative','0') AND T1.Thrombosis = 0","SELECT COUNT(P.ID)
FROM Patient P
JOIN Laboratory L ON P.ID = L.ID
WHERE L.SM = 'Normal' AND P.Diagnosis != 'Thrombosis';",incorrect,,semantic,semantic,"Mauvaise table (Patient au lieu de Laboratory/Examination), valeur SM='Normal' incorrecte et condition Diagnosis incoherente avec la question."
D_bird_mini_1058,bird_mini_1058,D,Who has the highest average finishing rate between the highest and shortest football player?,finishing rate refers to finishing; highest average finishing rate = MAX(AVG(finishing)); highest football player refers to MAX(height); shortest football player refers to MIN(height);,"SELECT A FROM ( SELECT AVG(finishing) result, 'Max' A FROM Player AS T1 INNER JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T1.height = ( SELECT MAX(height) FROM Player ) UNION SELECT AVG(finishing) result, 'Min' A FROM Player AS T1 INNER JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T1.height = ( SELECT MIN(height) FROM Player ) ) ORDER BY result DESC LIMIT 1","SELECT p.player_name
FROM Player p
JOIN Player_Attributes pa ON p.player_api_id = pa.player_api_id
WHERE pa.finishing = (
    SELECT MAX(pa.finishing)
    FROM Player_Attributes pa
    UNION
    SELECT MIN(pa.finishing)
    FROM Player_Attributes pa
)
ORDER BY pa.finishing DESC
LIMIT 1;",incorrect,,semantic,semantic,Mauvaise interpretation de la question : ne regroupe pas par le joueur le plus grand/le plus petit avant de comparer les moyennes.
D_bird_mini_1088,bird_mini_1088,D,Please list the names of the players whose volley score and dribbling score are over 70.,volley score are over 70 refers to volleys > 70; dribbling score refers to dribbling are over 70 refers to dribbling > 70;,SELECT DISTINCT t1.player_name FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t2.volleys > 70 AND t2.dribbling > 70,"SELECT p.player_name
FROM Player p
JOIN Player_Attributes pa ON p.player_api_id = pa.player_api_id
WHERE pa.volleys > 70 AND pa.dribbling > 70;",incorrect,,ambiguous,ambiguous,"Meme logique de jointure et de filtre que le gold, mais absence de DISTINCT : risque de doublons dans le resultat."
D_bird_mini_1464,bird_mini_1464,D,Write the full names of students who received funds on the date of 9/9/2019 and include the amount received.,"full name refers to first_name, last_name, amount of funds received refers to amount, received funds on date refers to date_received","SELECT DISTINCT T3.first_name, T3.last_name, T4.amount FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T3.member_id = T2.link_to_member INNER JOIN income AS T4 ON T4.link_to_member = T3.member_id WHERE T4.date_received = '2019-09-09'","SELECT first_name, last_name, amount
FROM income
WHERE date_received = '2019-09-09';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: first_name,structural,structural,Colonnes first_name/last_name inexistantes dans la table income.
B_bird_mini_797,bird_mini_797,B,Which superheroes have blue eyes with brown hair?,which superheroes refers to superhero_name; blue eyes refers to color = 'Blue' and color.id = eye_colour_id; brown hair refers to color = 'Brown' and color.id = hair_colour_id;,SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id INNER JOIN colour AS T3 ON T1.hair_colour_id = T3.id WHERE T2.colour = 'Blue' AND T3.colour = 'Brown',"SELECT s.superhero_name
FROM superhero s
JOIN colour c1 ON s.eye_colour_id = c1.id
JOIN colour c2 ON s.hair_colour_id = c2.id
WHERE c1.colour = 'blue' AND c2.colour = 'brown';",incorrect,,semantic,semantic,"Filtre 'blue'/'brown' au lieu de 'Blue'/'Brown' : comparaison sensible a la casse, resultat probablement vide."
D_bird_mini_573,bird_mini_573,D,Write the contents of comments with a score of 17.,score of 17 refers to Score = 17; contents of comments refers to Text,SELECT Text FROM comments WHERE Score = 17,"SELECT Text
FROM comments
WHERE Score = 17;",correct,,correct,correct,Requete identique au gold.
D_bird_mini_1378,bird_mini_1378,D,What is the highest amount of budget spend for an event?,highest amount of budget spend refers to MAX(spent),SELECT MAX(spent) FROM budget,"SELECT MAX(spent) AS highest_budget_spend
FROM budget
WHERE event_status IS NOT NULL;",correct,,ambiguous,ambiguous,Filtre event_status IS NOT NULL ajoute sans fondement dans l'evidence ; coincide avec le bon resultat sur ces donnees mais n'est pas justifie.
D_bird_mini_397,bird_mini_397,D,"What is the mana cost of cards with a normal layout, a 2003 frame version, with a black border color, and available in paper and mtgo?","available in paper and mtgo refers to availability = 'mtgo,paper'; frameVersion = 2003;borderColor = 'black'","SELECT manaCost FROM cards WHERE availability = 'mtgo,paper' AND borderColor = 'black' AND frameVersion = 2003 AND layout = 'normal'","SELECT id, manaCost
FROM cards
WHERE layout = 'normal'
AND frameVersion = 2003
AND borderColor = 'black'
AND availability = 'mtgo,paper';",incorrect,,ambiguous,ambiguous,"Meme filtre que le gold mais colonne id ajoutee en plus de manaCost, non demandee."
D_bird_mini_1189,bird_mini_1189,D,"What number of patients with a degree of thrombosis level 2 and ANA pattern of only S, have a level of anti-Cardiolip in antibody (IgM) 20% higher than average?","thrombosis level 2 refers to Thrombosis = 2; ANA pattern of only S refers to ANA = 'S'; average anti-Cardiolip in antibody (IgM) refers to AVG(`aCL IgM`); calculation = MULTIPLY(AVG + AVG, 0.2)",SELECT COUNT(*) FROM Examination WHERE Thrombosis = 2 AND `ANA Pattern` = 'S' AND `aCL IgM` > (SELECT AVG(`aCL IgM`) * 1.2 FROM Examination WHERE Thrombosis = 2 AND `ANA Pattern` = 'S'),"SELECT COUNT(*)
FROM Examination E
JOIN Laboratory L ON E.ID = L.ID
WHERE E.Thrombosis = 2
  AND E.ANA = 'S'
  AND L.`aCL IgM` > (SELECT AVG(`aCL IgM`) FROM Examination WHERE `aCL IgM` > 0) * 1.2;",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: L.aCL IgM,structural,structural,Colonne 'aCL IgM' inexistante dans Laboratory ; elle se trouve dans Examination.
D_bird_mini_868,bird_mini_868,D,Where is Malaysian Grand Prix held? Give the location coordinates.,"location coordinates refers to (lat, lng); Malaysian Grand Prix refers to races.name = 'Malaysian Grand Prix'","SELECT DISTINCT T1.lat, T1.lng FROM circuits AS T1 INNER JOIN races AS T2 ON T2.circuitID = T1.circuitId WHERE T2.name = 'Malaysian Grand Prix'","SELECT c.lat, c.lng
FROM races r
JOIN circuits c ON r.circuitId = c.circuitId
WHERE r.name = 'Malaysian Grand Prix';",incorrect,,ambiguous,ambiguous,"Meme logique de jointure et de filtre que le gold, mais absence de DISTINCT : risque de doublons si plusieurs editions du meme Grand Prix."
B_bird_mini_1392,bird_mini_1392,B,Indicate the top source of funds received in September 2019 based on their amount.,top source funds refers to MAX(source); September 2019 means date_received BETWEEN '2019-09-01' and '2019-09-30',SELECT source FROM income WHERE date_received BETWEEN '2019-09-01' and '2019-09-30' ORDER BY source DESC LIMIT 1,"SELECT source, SUM(amount) AS total_amount
FROM income
WHERE date_received BETWEEN '2019-09-01' AND '2019-09-30'
GROUP BY source
ORDER BY total_amount DESC
LIMIT 1;",incorrect,,semantic,semantic,Interprete 'top source' comme le montant total le plus eleve au lieu du tri alphabetique (MAX(source)) demande par la reference.
